AccountName,AccountCode,Description,AccountType,ParentAccount,AccountNumber,Currency
ACCUM.DEP-ENT M-E,131002,,Fixed Asset,ACCUM.DEPRECIATION EQUIPMENTS,,
ACCUM.DEP-INSTRUMENTS,131003,,Fixed Asset,ACCUM.DEPRECIATION EQUIPMENTS,,
ACCUM.DEPRECIATION  ELECTRICAL & ELECTRONICS,132,,Fixed Asset,ACCUM DEPRECIATION & AMORTIZATION,,
ACCUM.DEP-ELECTRONICS APPLIANCES,132001,,Fixed Asset,ACCUM.DEPRECIATION  ELECTRICAL & ELECTRONICS,,
ACCUM.DEP-IMPROVEMENT COST-ELECTRONICS,132002,,Fixed Asset,ACCUM.DEPRECIATION  ELECTRICAL & ELECTRONICS,,
ACCUM.DEP-ELECTRICAL EQUIPMENTS,132003,,Fixed Asset,ACCUM.DEPRECIATION  ELECTRICAL & ELECTRONICS,,
ACCUM.DEP-IMPROVEMENT COST ELECTRICAL,132004,,Fixed Asset,ACCUM.DEPRECIATION  ELECTRICAL & ELECTRONICS,,
ACCUM.DEPRECIATION IT HARDWARES & SOFTWARES,133,,Fixed Asset,ACCUM DEPRECIATION & AMORTIZATION,,
ACCUM.DEP-HARDWARE,133001,,Fixed Asset,ACCUM.DEPRECIATION IT HARDWARES & SOFTWARES,,
ACCUM.DEP-HIS SOFTWARE & WEBSITE,133002,,Fixed Asset,ACCUM.DEPRECIATION IT HARDWARES & SOFTWARES,,
ACCUM.DEP-PRINTERS,133003,,Fixed Asset,ACCUM.DEPRECIATION IT HARDWARES & SOFTWARES,,
ACCUM.DEP-SIGNBOARD & MARKETING,133004,,Fixed Asset,ACCUM.DEPRECIATION IT HARDWARES & SOFTWARES,,
ACCUM.DEP-IMPROVEMENT COST IT,133005,,Fixed Asset,ACCUM.DEPRECIATION IT HARDWARES & SOFTWARES,,
ACCUM.DEPRECIATION VEHICLES,134,,Fixed Asset,ACCUM DEPRECIATION & AMORTIZATION,,
ACCUM.DEP-VEHICLES,134001,,Fixed Asset,ACCUM.DEPRECIATION VEHICLES,,
ACCUM.AMORTIZATION INTANGIBLE ASSETS,135,,Fixed Asset,ACCUM DEPRECIATION & AMORTIZATION,,
"ACCUM.AMORT-RECRUITMENT, LICENCING& GOVT FEE",135001,,Fixed Asset,ACCUM.AMORTIZATION INTANGIBLE ASSETS,,
