AccountName,AccountCode,Description,AccountType,ParentAccount,AccountNumber,Currency
IT SUPPLIES Expense,525006,,Expense,ADMINISTRATION Expense,,
CHAMBER OF COMMERCE,525007,,Expense,ADMINISTRATION Expense,,
FEE & SUBSCRIPTION Expense,525008,,Expense,ADMINISTRATION Expense,,
BANK CHARGES,525009,,Expense,ADMINISTRATION Expense,,
ADMIN MISC Expense,525010,,Expense,ADMINISTRATION Expense,,
STAFF UTINSELS,525012,,Expense,ADMINISTRATION Expense,,
STAFF ENTERTAINMENT,525013,,Expense,ADMINISTRATION Expense,,
STAFF TRAVELLING Expense,525014,,Expense,ADMINISTRATION Expense,,
VAT EXPENSE,525015,,Expense,ADMINISTRATION Expense,,
VAT PENALITY,525016,,Expense,ADMINISTRATION Expense,,
BAD DEBTS EXPENSE,525017,,Expense,ADMINISTRATION Expense,,
